WATER ETHANOL HEXANE
0.30111 0.00466 0.01297 0.98230
0.56157 0.03616 0.06482 0.92597
0.64612 0.08745 0.12540 0.86124
0.65678 0.14517 0.20515 0.76946
0.61759 0.22957 0.30339 0.65702
0.58444 0.28676 0.35808 0.59253
0.56258 0.32010 0.38983 0.55109
0.55091 0.33639 0.40849 0.52622
