WATER ETHANOL HEXANE
0.3040 0.0107 0.0097 0.9776
0.5460 0.0540 0.0755 0.9170
0.6298 0.1028 0.1352 0.8558
0.6451 0.1512 0.2079 0.7763
0.6193 0.2228 0.2945 0.6738
0.5897 0.2774 0.3485 0.6078
0.5660 0.3116 0.3839 0.5630
0.5533 0.3290 0.4044 0.5360
